"inoculation","sp","density","rep"
0,"Ev",0,1
0,"Ev",0,2
0,"Ev",0,3
0,"Ev",0,4
0,"Ev",2,1
0,"Ev",2,2
0,"Ev",2,3
0,"Ev",2,4
0,"Ev",10,1
0,"Ev",10,2
0,"Ev",10,3
0,"Ev",10,4
0,"Ev",50,1
0,"Ev",50,2
0,"Ev",50,3
0,"Ev",50,4
0,"Ev",100,1
0,"Ev",100,2
0,"Ev",100,3
0,"Ev",100,4
0,"Es",0,1
0,"Es",0,2
0,"Es",0,3
0,"Es",0,4
0,"Es",2,1
0,"Es",2,2
0,"Es",2,3
0,"Es",2,4
0,"Es",10,1
0,"Es",10,2
0,"Es",10,3
0,"Es",10,4
0,"Es",50,1
0,"Es",50,2
0,"Es",50,3
0,"Es",50,4
0,"Es",100,1
0,"Es",100,2
0,"Es",100,3
0,"Es",100,4
0,"Pc",0,1
0,"Pc",0,2
0,"Pc",0,3
0,"Pc",0,4
0,"Pc",2,1
0,"Pc",2,2
0,"Pc",2,3
0,"Pc",2,4
0,"Pc",10,1
0,"Pc",10,2
0,"Pc",10,3
0,"Pc",10,4
0,"Pc",50,1
0,"Pc",50,2
0,"Pc",50,3
0,"Pc",50,4
0,"Pc",100,1
0,"Pc",100,2
0,"Pc",100,3
0,"Pc",100,4
1,"Ev",0,1
1,"Ev",0,2
1,"Ev",0,3
1,"Ev",0,4
1,"Ev",2,1
1,"Ev",2,2
1,"Ev",2,3
1,"Ev",2,4
1,"Ev",10,1
1,"Ev",10,2
1,"Ev",10,3
1,"Ev",10,4
1,"Ev",50,1
1,"Ev",50,2
1,"Ev",50,3
1,"Ev",50,4
1,"Ev",100,1
1,"Ev",100,2
1,"Ev",100,3
1,"Ev",100,4
1,"Es",0,1
1,"Es",0,2
1,"Es",0,3
1,"Es",0,4
1,"Es",2,1
1,"Es",2,2
1,"Es",2,3
1,"Es",2,4
1,"Es",10,1
1,"Es",10,2
1,"Es",10,3
1,"Es",10,4
1,"Es",50,1
1,"Es",50,2
1,"Es",50,3
1,"Es",50,4
1,"Es",100,1
1,"Es",100,2
1,"Es",100,3
1,"Es",100,4
1,"Pc",0,1
1,"Pc",0,2
1,"Pc",0,3
1,"Pc",0,4
1,"Pc",2,1
1,"Pc",2,2
1,"Pc",2,3
1,"Pc",2,4
1,"Pc",10,1
1,"Pc",10,2
1,"Pc",10,3
1,"Pc",10,4
1,"Pc",50,1
1,"Pc",50,2
1,"Pc",50,3
1,"Pc",50,4
1,"Pc",100,1
1,"Pc",100,2
1,"Pc",100,3
1,"Pc",100,4
