effect,component,group,term,estimate,std.error,conf.low,conf.high
fixed,cond,NA,(Intercept),6.624383463385982,0.292661680855267,6.049905841288489,7.200275170325671
fixed,cond,NA,focs,-4.4315463969551505,0.3031163356270808,-5.022856135270236,-3.8286536335099806
fixed,cond,NA,foca,-2.208058629772885,0.3992102226187159,-2.994352524921854,-1.431511019084655
fixed,cond,NA,fungicide,0.016593958218553986,0.3878521036750376,-0.7435113661481767,0.7729839865864866
fixed,cond,NA,density,-0.01867166064661209,0.008617830291384257,-0.03536804382172187,-0.001638410787308626
fixed,cond,NA,focs:fungicide,-0.126507082200122,0.4111422560353675,-0.9321099049190094,0.6743833862087821
fixed,cond,NA,foca:fungicide,-1.1398869422809734,0.5313268175995616,-2.163710991247501,-0.08060609218658309
fixed,cond,NA,density:bgs,0.03906254699973533,0.02601204351710089,-0.01110066680241405,0.0909003872018273
fixed,cond,NA,density:bga,-0.03608568917715271,0.05711448833517956,-0.14850433723684253,0.07460090106580959
fixed,cond,NA,focs:density,0.004731068990959929,0.009053462469033177,-0.013104453056437895,0.022415069877208458
fixed,cond,NA,foca:density,8.387074976766948e-4,0.012408604352600798,-0.023307888141792972,0.025161944476835632
fixed,cond,NA,fungicide:density,0.0043061391228125774,0.012041411167637874,-0.01926028794569738,0.028098064516123514
fixed,cond,NA,focs:density:bgs,-0.04156792747161098,0.02745245339392121,-0.09616844874857562,0.011905120407101786
fixed,cond,NA,foca:density:bgs,-0.04832994865052145,0.03749515110484343,-0.12156418869939051,0.025141209465392222
fixed,cond,NA,focs:density:bga,0.012093954369336133,0.06060243911522125,-0.10858252644130202,0.1307054619943689
fixed,cond,NA,foca:density:bga,-0.03886699195095822,0.08366210383741633,-0.2017763097934698,0.12631990849722805
fixed,cond,NA,fungicide:density:bgs,-0.022553780085037577,0.03600113591698656,-0.0928226420333227,0.04788956619534456
fixed,cond,NA,fungicide:density:bga,0.06588896717110986,0.0782150610346408,-0.08542553064466286,0.22073862699709465
fixed,cond,NA,focs:fungicide:density,-0.00290256089993734,0.012691492773734867,-0.027995256867124615,0.022279978869926963
fixed,cond,NA,foca:fungicide:density,0.018223531421654962,0.01731879841432987,-0.015660396311621652,0.05216993526748061
fixed,cond,NA,focs:fungicide:density:bgs,0.005823046309313616,0.03846588394512382,-0.0698333387208012,0.08216687189014246
fixed,cond,NA,foca:fungicide:density:bgs,0.06335226847728831,0.052047614087123564,-0.03917985356606509,0.16445151535002822
fixed,cond,NA,focs:fungicide:density:bga,-0.047543810726136775,0.08448207365994405,-0.20973663283385902,0.12030693680596367
fixed,cond,NA,foca:fungicide:density:bga,0.15521313201473694,0.11608290352102278,-0.0702033835050197,0.38215973633484596
ran_pars,cond,plotf,sd__(Intercept),0.6002144607940169,0.08812621676262182,0.43897162129788003,0.7828668551460326
ran_pars,cond,Residual,sd__Observation,1.2087384290558352,0.04275658123708551,1.1290220649964364,1.2969767726753094
