plot,flag_color,litter,litter_density,litter_weight.g,seeds_added,justification,site,soil_moiture.prop,soil_moisture.centered,canopy_cover.prop,canopy_cover.centered
1,pink,live,low,50,yes,"infected litter impacts, low density",L1,0.319,0.028019230769230796,0.9688,0.04717142857142853
1,pink,live,low,50,yes,"infected litter impacts, low density",L2,0.303,0.012019230769230782,0.9168000000000001,-0.004828571428571404
1,pink,live,low,50,yes,"infected litter impacts, low density",L3,0.321,0.030019230769230798,0.8855999999999999,-0.03602857142857152
1,pink,live,low,50,yes,"infected litter impacts, low density",L4,0.24100000000000002,-0.04998076923076919,0.8648,-0.05682857142857145
2,pink,live,low,50,no,Mv germination from low density infected litter,L1,0.349,0.05801923076923077,NA,NA
2,pink,live,low,50,no,Mv germination from low density infected litter,L2,0.332,0.04101923076923081,NA,NA
2,pink,live,low,50,no,Mv germination from low density infected litter,L3,0.226,-0.0649807692307692,NA,NA
2,pink,live,low,50,no,Mv germination from low density infected litter,L4,0.321,0.030019230769230798,NA,NA
3,pink,live,medium,100,yes,"infected litter impacts, medium density",L1,0.307,0.016019230769230786,0.8752,-0.046428571428571486
3,pink,live,medium,100,yes,"infected litter impacts, medium density",L2,0.266,-0.024980769230769195,0.948,0.02637142857142849
3,pink,live,medium,100,yes,"infected litter impacts, medium density",L3,0.318,0.027019230769230795,0.948,0.02637142857142849
3,pink,live,medium,100,yes,"infected litter impacts, medium density",L4,0.349,0.05801923076923077,0.8336,-0.08802857142857146
4,pink,live,medium,100,no,Mv germination from medium density infected litter,L1,0.305,0.014019230769230784,NA,NA
4,pink,live,medium,100,no,Mv germination from medium density infected litter,L2,0.317,0.026019230769230794,NA,NA
4,pink,live,medium,100,no,Mv germination from medium density infected litter,L3,0.319,0.028019230769230796,NA,NA
4,pink,live,medium,100,no,Mv germination from medium density infected litter,L4,0.34600000000000003,0.05501923076923082,NA,NA
5,pink,live,high,200,yes,"infected litter impacts, high density",L1,0.344,0.05301923076923076,0.9376,0.015971428571428525
5,pink,live,high,200,yes,"infected litter impacts, high density",L2,0.203,-0.0879807692307692,0.948,0.02637142857142849
5,pink,live,high,200,yes,"infected litter impacts, high density",L3,0.237,-0.05398076923076922,0.9584,0.036771428571428566
5,pink,live,high,200,yes,"infected litter impacts, high density",L4,0.263,-0.027980769230769198,0.9272,0.0055714285714285605
6,pink,live,high,200,no,Mv germination from high density infected litter,L1,0.322,0.0310192307692308,NA,NA
6,pink,live,high,200,no,Mv germination from high density infected litter,L2,0.11199999999999999,-0.17898076923076922,NA,NA
6,pink,live,high,200,no,Mv germination from high density infected litter,L3,0.272,-0.01898076923076919,NA,NA
6,pink,live,high,200,no,Mv germination from high density infected litter,L4,0.31,0.019019230769230788,NA,NA
7,orange,sterilized,low,50,yes,"uninfected litter impacts, low density",L1,0.324,0.0330192307692308,0.948,0.02637142857142849
7,orange,sterilized,low,50,yes,"uninfected litter impacts, low density",L2,0.292,0.0010192307692307723,0.9376,0.015971428571428525
7,orange,sterilized,low,50,yes,"uninfected litter impacts, low density",L3,0.125,-0.1659807692307692,0.9064,-0.01522857142857148
7,orange,sterilized,low,50,yes,"uninfected litter impacts, low density",L4,0.306,0.015019230769230785,0.9168000000000001,-0.004828571428571404
8,orange,sterilized,low,50,no,Mv germination from low density uninfected litter,L1,0.35700000000000004,0.06601923076923083,NA,NA
8,orange,sterilized,low,50,no,Mv germination from low density uninfected litter,L2,0.303,0.012019230769230782,NA,NA
8,orange,sterilized,low,50,no,Mv germination from low density uninfected litter,L3,0.276,-0.014980769230769186,NA,NA
8,orange,sterilized,low,50,no,Mv germination from low density uninfected litter,L4,0.33399999999999996,0.043019230769230754,NA,NA
9,orange,sterilized,medium,100,yes,"uninfected litter impacts, medium density",L1,0.31,0.019019230769230788,0.9272,0.0055714285714285605
9,orange,sterilized,medium,100,yes,"uninfected litter impacts, medium density",L2,0.247,-0.04398076923076921,0.9376,0.015971428571428525
9,orange,sterilized,medium,100,yes,"uninfected litter impacts, medium density",L3,0.295,0.004019230769230775,0.9376,0.015971428571428525
9,orange,sterilized,medium,100,yes,"uninfected litter impacts, medium density",L4,0.24100000000000002,-0.04998076923076919,0.9688,0.04717142857142853
10,orange,sterilized,medium,100,no,Mv germination from medium density uninfected litter,L1,0.298,0.007019230769230778,NA,NA
10,orange,sterilized,medium,100,no,Mv germination from medium density uninfected litter,L2,0.327,0.0360192307692308,NA,NA
10,orange,sterilized,medium,100,no,Mv germination from medium density uninfected litter,L3,0.141,-0.14998076923076922,NA,NA
10,orange,sterilized,medium,100,no,Mv germination from medium density uninfected litter,L4,0.335,0.04401923076923081,NA,NA
11,orange,sterilized,high,200,yes,"uninfected litter impacts, high density",L1,0.33799999999999997,0.04701923076923076,0.9064,-0.01522857142857148
11,orange,sterilized,high,200,yes,"uninfected litter impacts, high density",L2,0.237,-0.05398076923076922,0.9272,0.0055714285714285605
11,orange,sterilized,high,200,yes,"uninfected litter impacts, high density",L3,0.33899999999999997,0.04801923076923076,0.948,0.02637142857142849
11,orange,sterilized,high,200,yes,"uninfected litter impacts, high density",L4,0.273,-0.01798076923076919,0.9168000000000001,-0.004828571428571404
12,orange,sterilized,high,200,no,Mv germination from high density uninfected litter,L1,0.289,-0.0019807692307692304,NA,NA
12,orange,sterilized,high,200,no,Mv germination from high density uninfected litter,L2,0.33899999999999997,0.04801923076923076,NA,NA
12,orange,sterilized,high,200,no,Mv germination from high density uninfected litter,L3,0.35200000000000004,0.061019230769230826,NA,NA
12,orange,sterilized,high,200,no,Mv germination from high density uninfected litter,L4,0.29,-9.807692307692295e-4,NA,NA
13,yellow,none,none,0,yes,baseline demographic rates without litter impacts,L1,0.27899999999999997,-0.01198076923076924,0.896,-0.025628571428571445
13,yellow,none,none,0,yes,baseline demographic rates without litter impacts,L2,0.36200000000000004,0.07101923076923083,0.9272,0.0055714285714285605
13,yellow,none,none,0,yes,baseline demographic rates without litter impacts,L3,0.19399999999999998,-0.09698076923076923,0.9168000000000001,-0.004828571428571404
13,yellow,none,none,0,yes,baseline demographic rates without litter impacts,L4,0.326,0.0350192307692308,0.8752,-0.046428571428571486
